,skill,group,feature_0,feature_1,normal_learning_aware0_score,test_score_dist,cost_to_test,prob_accept_at_threshold,exp_utility_from_school,take_test_at_threshold,admitted,skillcut,skillround,testcut,testround
0,0.25715081292420566,A,-3.262264809421533,0.3761078063683361,-0.30276403648561473,"('NORMAL', 0.6187334746619375, 2.1256952990255926)",0.0,0.41259914438343637,2.062995721917182,True,False,0.595,0.2625,0.515,0.3666666666666667
1,0.02538064425995788,A,-0.7457572225316653,2.853139247513874,0.10178332050116619,"('NORMAL', 0.9295570669660361, 2.1256952990255926)",0.0,0.4954728075571523,2.4773640377857613,True,False,0.475,0.025,0.77,2.8666666666666667
2,-1.4192610404057648,A,-0.8900071805995406,-6.188591378618567,-0.30646476836300135,"('NORMAL', 0.9117401963196077, 2.1256952990255926)",0.0,0.48147193514263575,2.4073596757131788,True,False,0.025,-1.425,0.03,-6.2
3,-0.26865857031313034,A,-1.2159899231306377,-2.6110517416143675,-0.1901992642339433,"('NORMAL', 0.8714768060598221, 2.1256952990255926)",0.0,0.4777331746211515,2.3886658731057575,True,False,0.32999999999999996,-0.2625,0.195,-2.6
4,0.18445500968824607,A,-3.1640202270721187,1.8394649152627471,-0.22784046082204623,"('NORMAL', 0.6308680432876577, 2.1256952990255926)",0.0,0.41539320620218423,2.076966031010921,True,False,0.5599999999999999,0.1875,0.675,1.8333333333333333
5,0.1131850749546746,A,-2.896128672095306,-3.7813625070887533,-0.4393760641303218,"('NORMAL', 0.6639563661282548, 2.1256952990255926)",0.0,0.4238210897260073,2.1191054486300365,True,False,0.53,0.1125,0.10500000000000001,-3.766666666666667
6,-0.9701818284294673,A,-3.3692589697078774,-3.2929852173179417,-0.47415554598436194,"('NORMAL', 0.6055182117996214, 2.1256952990255926)",0.0,0.4015349923790913,2.0076749618954564,True,False,0.09,-0.975,0.13999999999999999,-3.3000000000000003
7,0.09743967493050902,A,-0.6327435266631467,3.5080701222423434,0.14347456130191308,"('NORMAL', 0.9435158259669694, 2.1256952990255926)",0.0,0.4997477280338265,2.4987386401691323,True,False,0.52,0.1,0.8300000000000001,3.5
8,-0.2719112162291353,A,-3.665606253751807,0.3413261005763619,-0.3519317234679809,"('NORMAL', 0.5689152117228613, 2.1256952990255926)",0.0,0.3961146719415929,1.9805733597079644,True,False,0.32999999999999996,-0.275,0.515,0.3333333333333333
9,-0.301257400469188,A,-1.5061256470254643,-2.772168421944395,-0.23145548925803366,"('NORMAL', 0.8356410198191798, 2.1256952990255926)",0.0,0.46774509758839977,2.338725487941999,True,False,0.315,-0.3,0.175,-2.766666666666667
10,1.0338384729827377,A,1.500487760386957,-3.7170875636917105,0.08295252898927923,"('NORMAL', 1.2069994789909915, 2.1256952990255926)",0.0,0.577273837806303,2.886369189031515,True,False,0.9,1.0375,0.11000000000000001,-3.733333333333333
11,-0.5367760002849336,A,-3.849745874662802,2.1949014665232043,-0.2934941623760186,"('NORMAL', 0.5461714144240792, 2.1256952990255926)",0.0,0.38850666776134235,1.9425333388067116,True,False,0.225,-0.5375,0.71,2.1999999999999997
