,skill,group,feature_0,feature_1,normal_learning_aware0_score,test_score_dist,cost_to_test,prob_accept_at_threshold,exp_utility_from_school,take_test_at_threshold,admitted,skillcut,skillround,testcut,testround
0,-0.5516383923270555,A,0.08715938527183564,-4.124916226048435,-0.15775538469071718,"('NORMAL', 0.9121645303137318, 2.915084857806493)",0.0,0.4485686431723843,2.242843215861922,True,False,0.255,-0.55,0.1,-4.1
1,1.0379111399350498,A,0.6091381247921221,1.4012996134074718,0.20292478792036997,"('NORMAL', 1.1045627385074774, 2.915084857806493)",0.0,0.5289013822188141,2.6445069110940707,True,False,0.9199999999999999,1.0375,0.63,1.4
2,1.2994467597676165,A,-0.17947398068110987,2.900177339662995,-0.03129238887689398,"('NORMAL', 0.813885083336332, 2.915084857806493)",0.0,0.46689351788148925,2.3344675894074465,True,False,0.9550000000000001,1.3,0.775,2.9
3,0.21951468647795916,A,1.415842658125316,1.427116398741471,0.4917044419067311,"('NORMAL', 1.401909153224903, 2.915084857806493)",0.0,0.5795686491314864,2.897843245657432,True,False,0.64,0.225,0.635,1.45
4,-0.7828628449531932,A,0.2731132787891887,3.015047431527097,0.1338894901596622,"('NORMAL', 0.9807060114328088, 2.915084857806493)",0.0,0.45934074064677033,2.2967037032338515,True,False,0.175,-0.7875,0.79,3.0
5,-0.7686695192976074,A,-1.4538190033223009,-5.6417648232549595,-0.7556870281546186,"('NORMAL', 0.34416921099618214, 2.915084857806493)",0.0,0.3177078653645873,1.5885393268229364,True,False,0.18,-0.7625,0.045,-5.65
6,0.11120479425592984,A,-0.018262124269659133,4.998543837051662,0.09245804172027858,"('NORMAL', 0.8733067991358221, 2.915084857806493)",0.0,0.4542689931752689,2.2713449658763447,True,False,0.5700000000000001,0.1125,0.93,5.0
7,0.39814391658860465,A,0.6364130359465826,5.332848956524246,0.33670136668311207,"('NORMAL', 1.1146161058909547, 2.915084857806493)",0.0,0.5169641547600531,2.5848207738002653,True,False,0.72,0.4,0.945,5.35
8,0.7900739403523397,A,0.7502501761937752,0.5585191657101682,0.22670709921895515,"('NORMAL', 1.1565757876772063, 2.915084857806493)",0.0,0.5354909871578655,2.6774549357893274,True,False,0.86,0.7875,0.5349999999999999,0.55
9,-0.8847541147391536,A,-2.1569557947000826,0.4661907931154383,-0.8139761021699263,"('NORMAL', 0.08499723992986441, 2.915084857806493)",0.0,0.2635556749907133,1.3177783749535665,True,False,0.145,-0.8875,0.525,0.45
10,-0.14841385442355237,A,1.7474630047092234,7.921462048235373,0.8149778648432479,"('NORMAL', 1.5241424084374997, 2.915084857806493)",0.0,0.5993860758370306,2.9969303791851534,True,True,0.445,-0.15,0.99,7.9
11,-0.3944326036199197,A,-1.080111925851182,1.366943483854638,-0.40116197952421506,"('NORMAL', 0.4819153808130663, 2.915084857806493)",0.0,0.35477406562488156,1.7738703281244077,True,False,0.325,-0.4,0.63,1.35
12,-0.3739529415316724,A,-0.7809364609097537,-1.9288914228946443,-0.3983504676192026,"('NORMAL', 0.5921896487711091, 2.915084857806493)",0.0,0.3795253743646728,1.897626871823364,True,False,0.335,-0.375,0.24500000000000002,-1.95
